relacja,liczba_lat
Gdynia Gł. -> Łódź Fabr.,1
Gdynia Gł. -> Zielona Góra Gł.,1
Gdynia Gł. -> Zakopane,1
Gdynia Gł. -> Warszawa Zachodnia,1
Gdynia Gł. -> Bydgoszcz Gł.,1
Gdynia Gł. -> Rzeszów Gł.,1
Gdynia Gł. -> Poznań Gł.,1
Gdynia Gł. -> Kraków Gł. 13:19/Zakopane,1
Gdynia Gł. -> Kraków Gł. 12:53/Zakopane,1
Gdynia Gł. -> Kraków Gł.,1
Gdynia Gł. -> Kostrzyn,1
Gdynia Gł. -> Katowice,1
Gdynia Gł. -> Hel,1
Gdynia Gł. -> Gorzów Wlkp.,1
Gorzów Wlkp. -> Jarocin,1
Gorzów Wlkp. -> Poznań Gł.,1
Gorzów Wlkp. -> Zbąszynek,1
Hel -> Bielsko Biała Gł.,1
Katowice -> Wien Westbf,1
Katowice -> Płock,1
Katowice -> Kielce Gł.,1
Katowice -> Gdynia Gł.,1
Kamień Pomorski -> Szczecin Gł.,1
Jelenia Góra -> Wrocław Gł.,1
Jelenia Góra -> Warszawa Wschodnia,1
Jelenia Góra -> Kraków Gł.,1
Jelenia Góra -> Gdynia Gł.,1
Jelenia Góra -> ,1
Jarocin -> Gorzów Wlkp.,1
Inowrocław -> Poznań Gł.,1
Hrubieszów Miasto -> Lublin Gł.,1
Hrubieszów Miasto -> Kraków Gł.,1
Hel -> Łódź Fabr.,1
Hel -> Warszawa Zachodnia,1
Hel -> Kraków Gł.,1
Hel -> Gdynia Gł.,1
Hel -> Bohumin,1
Gdynia Gł. -> Gliwice,1
Gdynia Gł. -> Bielsko Biała Gł.,1
Kielce Gł. -> Gliwice,1
Bialystok -> Wrocław Gł.,1
Białystok -> Wrocław Gł.,1
Białystok -> Warszawa Wschodnia,1
Białystok -> Warszawa Centralna,1
Białystok -> Szczecin Gł.,1
Białystok -> Poznań Gł.,1
Białystok -> Olsztyn Gł.,1
Białystok -> Gliwice,1
Białystok -> Gdynia Gł.,1
Białystok -> Biała Gł.,1
Berlin Hbf -> ,1
Gdynia Gł. -> Białystok,1
 -> Wrocław Gł.,1
 -> Warszawa Zachodnia,1
 -> Warszawa Wschodnia,1
 -> Ustka,1
 -> Przemyśl Gł.,1
 -> Kraków Gł.,1
 -> Kołobrzeg,1
 -> Gdynia Gł.,1
 -> Chełm,1
Białystok -> Zielona Góra Gł.,1
Białystok -> Łódź Fabr.,1
Bielsko Biała Gł. -> Gdynia Gł.,1
Bielsko Biała Gł. -> Hel,1
Gdynia Gł. -> Biała Gł.,1
Gdynia Gł. -> ,1
Gdańsk Gł. -> Szczecin Gł.,1
Dnipro -> Chełm,1
Chełm -> Zielona Góra Gł.,1
Chełm -> Szczecin Gł.,1
Chełm -> Poznań Gł.,1
Chełm -> Dnipro Hl.,1
Chełm -> Dnipro,1
Chełm -> ,1
Chabówka -> Zakopane,1
Bydgoszcz Gł. -> Zakopane,1
Bydgoszcz Gł. -> Warszawa Wschodnia,1
Bydgoszcz Gł. -> Tczew,1
Bydgoszcz Gł. -> Lublin Gł.,1
Bydgoszcz Gł. -> Gdynia Gł.,1
Bydgoszcz Gł. -> ,1
Bohumin -> Kraków Gł.,1
Bielsko Biała Gł. -> Kołobrzeg,1
Kharkiv -> Przemyśl Gł.,1
Kielce Gł. -> Katowice,1
Przemyśl Gl. -> Ustka,1
Odessa Hl. -> Pas.,1
Olsztyn Gł. -> Łódź Fabr.,1
Olsztyn Gł. -> Wrocław Gł.,1
Olsztyn Gł. -> Warszawa Zachodnia,1
Olsztyn Gł. -> Szczecin Gł.,1
Olsztyn Gł. -> Racibórz,1
Olsztyn Gł. -> Poznań Gł.,1
Olsztyn Gł. -> Kraków Gł.,1
Olsztyn Gł. -> Białystok,1
Olsztyn Gl. -> Lębork,1
München Hbf -> Bohumin,1
Lublin Gł. -> Rava Ruskaia,1
München Hbf -> ,1
Mockava -> ,1
Lębork -> Łeba,1
Lębork -> Warszawa Wschodnia,1
Lębork -> Olsztyn Gł.,1
Lublin Gł. -> Zielona Góra Gł.,1
Lublin Gł. -> Wrocław Gł.,1
Lublin Gł. -> Warszawa Wschodnia,1
Lublin Gł. -> Szczecinek,1
Pila Gł. -> Kołobrzeg,1
Pisz -> Szczecin Gł.,1
Piła Gł. -> Rzeszów Gł.,1
Poznań Gł. -> ,1
Przemyśl Gl. -> Poznań Gł.,1
Przemyśl Gl. -> Kołobrzeg,1
Praha hl.n. -> Warszawa Wschodnia,1
Poznań Gł. -> Zielona Góra Gł.,1
Poznań Gł. -> Zakopane,1
Poznań Gł. -> Wrocław Gł.,1
Poznań Gł. -> Warszawa Wschodnia,1
Poznań Gł. -> Warszawa Gł.,1
Poznań Gł. -> Ustka,1
Poznań Gł. -> Terespol,1
Poznań Gł. -> Przemyśl Gł.,1
Poznań Gł. -> Olsztyn Gł.,1
Poznań Gł. -> Kraków Gł.,1
Poznań Gł. -> Inowrocław,1
Poznań Gł. -> Gorzów Wlkp.,1
 -> Białystok,1
Poznań Gł. -> Chełm,1
Poznań Gł. -> Bohumin,1
Poznań Gł. -> Bialystok,1
Lublin Gł. -> Szczecin Gł.,1
Lublin Gł. -> Kraków Gł.,1
Kielce Gł. -> Wrocław Gł.,1
Kołobrzeg -> Wrocław Gł.,1
Kraków Gł. -> Hel,1
Kraków Gł. -> Graz Hbf,1
Kraków Gł. -> Giżycko,1
Kraków Gł. -> Gdynia Gł.,1
Kraków Gł. -> Biała Gł.,1
Kraków Gł. -> ,1
Kołobrzeg 14:15/Słupsk -> Łódź Fabr.,1
Kołobrzeg -> Łódź Fabr.,1
Kołobrzeg -> Zakopane,1
Kołobrzeg -> Warszawa Wschodnia,1
Lublin Gł. -> Hrubieszów Miasto,1
Kołobrzeg -> Szczecin Gł.,1
Kołobrzeg -> Przemyśl Gł.,1
Kołobrzeg -> Piła Gł.,1
Kołobrzeg -> Kraków Gł.,1
Kołobrzeg -> Bohumin,1
Kołobrzeg -> Bielsko Biała Gł.,1
Kołobrzeg -> Biała Gł.,1
Kozłów -> Szczecin Gł.,1
Kostrzyn -> Gdynia Gł.,1
Kraków Gł. -> Hrubieszów Miasto,1
Kraków Gł. -> Jelenia Góra,1
Kraków Gł. -> Kołobrzeg,1
Kraków Gł. -> Krynica Zdrój,1
Lublin Gł. -> Bydgoszcz Gł.,1
Leipzig Hbf -> Wrocław Gł.,1
Kyiv - Pas. -> Warszawa Zachodnia,1
Krynica Zdrój -> Kraków Gł.,1
Kraków Pł. -> Wrocław Gł.,1
Kraków Gł. -> Świnoujście,1
Kraków Gł. -> Łódź Fabr.,1
Kraków Gł. -> Łeba,1
Kraków Gł. -> Zdrój,1
Kraków Gł. -> Zagórz,1
Kraków Gł. -> Wrocław Gł.,1
Kraków Gł. -> Wien Hbf,1
Kraków Gł. -> Warszawa Wschodnia,1
Kraków Gł. -> Ustka,1
Kraków Gł. -> Szczecin Gł.,1
Kraków Gł. -> Przemyśl Gł.,1
Kraków Gł. -> Poznań Gł.,1
Kraków Gł. -> Olsztyn Gł.,1
Kraków Gł. -> Lublin Gł.,1
Żywiec -> Warszawa Wschodnia,1
